codigo_ibge,lat,lon
5200050,-16.7573,-49.4412
3100104,-18.4831,-47.3916
5200100,-16.197,-48.7057
3100203,-19.1551,-45.4444
1500107,-1.72183,-48.8788
2300101,-7.34588,-39.0416
2900108,-13.2488,-41.6619
2900207,-8.72073,-39.1162
4100103,-23.3049,-50.3133
4200051,-27.6126,-51.0233
1500131,-4.95333,-48.3933
4200101,-26.5716,-52.3229
3100302,-20.2996,-42.4743
2600054,-7.90072,-34.8984
1700251,-9.62101,-49.1518
3100401,-20.359,-43.1439
2100055,-4.94714,-47.5004
2900306,-11.6575,-38.0197
1500206,-1.95383,-48.1985
2300150,-4.22083,-38.7055
2300200,-2.88769,-40.1183
2400109,-6.4282,-36.6347
2200053,-8.21954,-41.0831
4300034,-31.8665,-54.1615
2300309,-6.08911,-39.448
5100102,-15.194,-56.3632
1200013,-9.82581,-66.8972
5200134,-17.396,-50.3749
2400208,-5.58362,-36.914
3100500,-19.0671,-42.5419
3500105,-21.682,-51.0737
5200159,-16.4127,-50.1657
3500204,-21.2325,-49.6451
4100202,-24.6606,-48.9922
2900355,-10.5437,-38.1113
2600104,-7.74312,-37.631
2400307,-5.49229,-36.5075
3200102,-20.0778,-41.1261
2100105,-4.13631,-43.3275
2600203,-8.51136,-41.0095
1500305,-0.154874,-50.3861
2600302,-8.45966,-35.9447
2200103,-5.79676,-42.6664
4200200,-27.4087,-49.822
4200309,-27.2662,-49.708
1500347,-6.79053,-50.4791
3100609,-17.9914,-42.3806
5100201,-14.051,-52.1601
2200202,-5.88856,-42.637
2500106,-7.51144,-37.6357
2700102,-9.262,-37.938
5000203,-20.4452,-52.879
3100708,-20.0576,-48.1069
4200408,-26.9985,-51.5528
2100154,-2.84048,-42.1189
3200169,-18.5482,-40.9854
2900405,-11.8618,-38.7639
5200175,-14.9778,-47.7823
5200209,-18.0771,-48.7603
2400406,-6.20351,-38.2941
2600401,-8.70609,-35.5263
4300059,-28.1672,-52.031
3500303,-22.0572,-46.9735
3100807,-20.9439,-45.3915
2600500,-9.11125,-37.1226
3500402,-21.9319,-46.7176
4200507,-27.0754,-52.9808
3500501,-22.4733,-46.6314
3500550,-22.8812,-49.2421
3500600,-22.5977,-47.8734
3100906,-17.0802,-40.9384
4200556,-26.8794,-52.8568
5200258,-15.7617,-48.2816
4200606,-27.6963,-48.8243
3101003,-15.7431,-41.4571
4300109,-29.6447,-53.2515
3500709,-22.4694,-48.9863
4100301,-25.9899,-49.3343
3200136,-18.9846,-40.7437
2500205,-7.0918,-38.1681
1700301,-6.55409,-47.4702
3101102,-19.5007,-41.0746
2900603,-14.1269,-39.8937
2300408,-6.57122,-40.1178
3101201,-21.9736,-44.6042
4300208,-28.2342,-53.7757
3101300,-22.171,-44.6413
2500304,-7.03943,-35.6206
2500403,-7.05377,-35.7591
2500502,-6.94657,-35.5332
2600609,-8.4665,-36.7788
2200251,-7.00039,-40.9282
2900702,-12.1335,-38.4208
3500758,-23.5503,-47.898
3101409,-22.2018,-46.6139
2100204,-2.39574,-44.4062
2300507,-3.58537,-40.5479
2500536,-7.73668,-36.0511
5000252,-18.3255,-53.7042
2900801,-17.5195,-39.2036
2100303,-4.62621,-43.4689
4300307,-27.6579,-54.7649
3200201,-20.758,-41.5382
4300406,-29.7902,-55.7949
2200277,-7.24196,-40.8566
4300455,-27.8345,-54.0557
